,year_month,no_of_rainy_days,total_rainfall,accidents_with_fatalities,accidents_with_injuries,year,month
0,2008-01,19,262.6,15,735,2008,01
1,2008-02,8,129.2,17,589,2008,02
2,2008-03,16,294.1,18,695,2008,03
3,2008-04,13,87.2,21,697,2008,04
4,2008-05,11,124.9,21,685,2008,05
5,2008-06,12,118.3,17,697,2008,06
6,2008-07,15,89.1,18,742,2008,07
7,2008-08,18,327.3,17,740,2008,08
8,2008-09,18,164.4,17,730,2008,09
9,2008-10,19,159.5,14,721,2008,10
10,2008-11,16,324.3,16,660,2008,11
11,2008-12,17,244.2,21,687,2008,12
12,2009-01,5,38.3,13,696,2009,01
13,2009-02,8,201.8,11,649,2009,02
14,2009-03,19,223.3,11,701,2009,03
15,2009-04,12,183.7,13,691,2009,04
16,2009-05,17,198.6,16,703,2009,05
17,2009-06,8,21.8,10,683,2009,06
18,2009-07,16,161.0,16,691,2009,07
19,2009-08,12,177.8,13,738,2009,08
20,2009-09,13,109.6,18,669,2009,09
21,2009-10,15,133.4,13,751,2009,10
22,2009-11,23,281.8,16,756,2009,11
23,2009-12,18,189.8,23,706,2009,12
24,2010-01,10,69.5,17,663,2010,01
25,2010-02,4,6.3,7,658,2010,02
26,2010-03,11,238.0,22,758,2010,03
27,2010-04,18,158.5,18,708,2010,04
28,2010-05,17,157.5,18,759,2010,05
29,2010-06,19,240.5,15,651,2010,06
30,2010-07,18,298.5,16,747,2010,07
31,2010-08,16,158.4,20,791,2010,08
32,2010-09,13,121.5,14,738,2010,09
33,2010-10,17,166.2,13,773,2010,10
34,2010-11,21,278.8,14,730,2010,11
35,2010-12,14,181.4,14,644,2010,12
36,2011-01,17,513.2,20,779,2011,01
37,2011-02,8,23.0,15,619,2011,02
38,2011-03,22,256.6,17,692,2011,03
39,2011-04,12,217.8,16,712,2011,04
40,2011-05,15,127.0,15,680,2011,05
41,2011-06,15,213.0,15,658,2011,06
42,2011-07,7,76.6,19,711,2011,07
43,2011-08,13,81.4,19,719,2011,08
44,2011-09,14,136.4,15,722,2011,09
45,2011-10,20,216.8,19,725,2011,10
46,2011-11,24,377.8,11,694,2011,11
47,2011-12,21,284.6,11,694,2011,12
48,2012-01,16,106.1,16,675,2012,01
49,2012-02,11,83.6,16,691,2012,02
50,2012-03,21,313.4,14,694,2012,03
51,2012-04,20,260.6,15,662,2012,04
52,2012-05,19,292.0,9,677,2012,05
53,2012-06,8,53.0,10,567,2012,06
54,2012-07,17,130.8,9,681,2012,07
55,2012-08,12,119.0,15,708,2012,08
56,2012-09,10,107.6,10,674,2012,09
57,2012-10,13,122.2,15,666,2012,10
58,2012-11,22,208.2,14,656,2012,11
59,2012-12,22,363.4,19,671,2012,12
60,2013-01,15,262.0,16,675,2013,01
61,2013-02,22,395.2,19,593,2013,02
62,2013-03,10,85.8,12,628,2013,03
63,2013-04,19,159.4,10,655,2013,04
64,2013-05,17,211.4,13,629,2013,05
65,2013-06,12,111.4,16,581,2013,06
66,2013-07,15,174.6,11,628,2013,07
67,2013-08,15,165.6,9,647,2013,08
68,2013-09,19,257.0,7,642,2013,09
69,2013-10,19,285.4,9,664,2013,10
70,2013-11,22,292.4,16,629,2013,11
71,2013-12,21,348.2,12,627,2013,12
72,2014-01,5,75.4,15,661,2014,01
73,2014-02,1,0.2,17,541,2014,02
74,2014-03,6,66.0,11,593,2014,03
75,2014-04,17,110.0,13,626,2014,04
76,2014-05,18,125.8,18,666,2014,05
77,2014-06,11,71.4,11,646,2014,06
78,2014-07,15,148.6,12,692,2014,07
79,2014-08,20,241.0,9,759,2014,08
80,2014-09,9,83.6,16,651,2014,09
81,2014-10,10,120.0,11,664,2014,10
82,2014-11,23,250.8,7,669,2014,11
83,2014-12,17,245.6,10,641,2014,12
84,2015-01,6,79.6,12,626,2015,01
85,2015-02,6,18.8,14,634,2015,02
86,2015-03,5,84.4,12,758,2015,03
87,2015-04,13,73.2,15,630,2015,04
88,2015-05,12,89.0,7,680,2015,05
89,2015-06,10,95.8,15,631,2015,06
90,2015-07,13,116.8,11,703,2015,07
91,2015-08,11,185.8,12,682,2015,08
92,2015-09,8,61.6,12,614,2015,09
93,2015-10,9,87.2,13,673,2015,10
94,2015-11,13,72.6,14,698,2015,11
95,2015-12,19,302.3,11,729,2015,12
96,2016-01,15,126.6,13,690,2016,01
97,2016-02,10,186.0,8,689,2016,02
98,2016-03,6,6.2,10,656,2016,03
99,2016-04,14,89.8,13,671,2016,04
100,2016-05,12,193.8,11,684,2016,05
101,2016-06,13,162.8,11,644,2016,06
102,2016-07,20,168.6,16,730,2016,07
103,2016-08,15,139.2,12,782,2016,08
104,2016-09,15,118.9,8,660,2016,09
105,2016-10,16,181.0,14,726,2016,10
106,2016-11,20,290.2,11,742,2016,11
107,2016-12,23,292.6,13,630,2016,12
108,2017-01,21,197.6,8,681,2017,01
109,2017-02,15,158.4,11,581,2017,02
110,2017-03,11,136.2,8,668,2017,03
111,2017-04,21,208.6,10,664,2017,04
112,2017-05,15,190.0,13,628,2017,05
113,2017-06,10,106.0,9,627,2017,06
114,2017-07,9,79.6,7,679,2017,07
115,2017-08,18,84.2,16,647,2017,08
116,2017-09,19,124.4,10,619,2017,09
117,2017-10,18,120.8,3,616,2017,10
118,2017-11,24,268.6,14,672,2017,11
119,2017-12,23,371.2,8,644,2017,12
120,2018-01,25,287.0,10,703,2018,01
121,2018-02,5,14.8,12,606,2018,02
122,2018-03,10,44.6,6,662,2018,03
123,2018-04,14,61.2,10,638,2018,04
124,2018-05,19,132.2,9,605,2018,05
125,2018-06,17,182.6,10,644,2018,06
126,2018-07,10,143.2,11,615,2018,07
127,2018-08,11,121.6,9,658,2018,08
128,2018-09,13,144.4,9,609,2018,09
129,2018-10,18,234.4,12,630,2018,10
130,2018-11,27,169.6,8,702,2018,11
131,2018-12,19,172.6,14,618,2018,12
132,2019-01,9,63.6,8,669,2019,01
133,2019-02,5,31.6,9,572,2019,02
134,2019-03,6,72.2,13,611,2019,03
135,2019-04,9,174.8,12,623,2019,04
136,2019-05,13,69.0,6,654,2019,05
137,2019-06,16,173.8,11,644,2019,06
138,2019-07,8,12.2,9,678,2019,07
139,2019-08,6,11.8,4,618,2019,08
140,2019-09,4,22.8,10,649,2019,09
141,2019-10,15,176.8,9,683,2019,10
142,2019-11,15,137.4,15,661,2019,11
143,2019-12,14,421.5,11,643,2019,12
144,2020-01,6,88.4,11,636,2020,01
145,2020-02,8,65.0,9,480,2020,02
146,2020-03,8,108.8,10,510,2020,03
147,2020-04,12,188.0,10,286,2020,04
148,2020-05,16,255.6,2,260,2020,05
149,2020-06,21,233.8,7,358,2020,06
150,2020-07,22,140.8,3,476,2020,07
151,2020-08,12,103.4,9,428,2020,08
152,2020-09,18,150.2,4,472,2020,09
153,2020-10,16,78.8,5,507,2020,10
154,2020-11,19,220.6,6,479,2020,11
155,2020-12,20,253.2,4,584,2020,12
156,2021-01,17,692.8,7,549,2021,01
157,2021-02,2,1.0,8,467,2021,02
158,2021-03,14,182.4,14,526,2021,03
159,2021-04,14,290.4,5,494,2021,04
160,2021-05,13,245.8,12,458,2021,05
161,2021-06,20,93.4,6,466,2021,06
162,2021-07,12,195.8,8,466,2021,07
163,2021-08,24,293.6,6,528,2021,08
164,2021-09,14,205.4,6,527,2021,09
165,2021-10,14,177.0,6,434,2021,10
166,2021-11,23,312.4,10,511,2021,11
167,2021-12,15,119.6,12,513,2021,12
