month,fatal_accidents
2008-01,15
2008-02,17
2008-03,18
2008-04,21
2008-05,21
2008-06,17
2008-07,18
2008-08,17
2008-09,17
2008-10,14
2008-11,16
2008-12,21
2009-01,13
2009-02,11
2009-03,11
2009-04,13
2009-05,16
2009-06,10
2009-07,16
2009-08,13
2009-09,18
2009-10,13
2009-11,16
2009-12,23
2010-01,17
2010-02,7
2010-03,22
2010-04,18
2010-05,18
2010-06,15
2010-07,16
2010-08,20
2010-09,14
2010-10,13
2010-11,14
2010-12,14
2011-01,20
2011-02,15
2011-03,17
2011-04,16
2011-05,15
2011-06,15
2011-07,19
2011-08,19
2011-09,15
2011-10,19
2011-11,11
2011-12,11
2012-01,16
2012-02,16
2012-03,14
2012-04,15
2012-05,9
2012-06,10
2012-07,9
2012-08,15
2012-09,10
2012-10,15
2012-11,14
2012-12,19
2013-01,16
2013-02,19
2013-03,12
2013-04,10
2013-05,13
2013-06,16
2013-07,11
2013-08,9
2013-09,7
2013-10,9
2013-11,16
2013-12,12
2014-01,15
2014-02,17
2014-03,11
2014-04,13
2014-05,18
2014-06,11
2014-07,12
2014-08,9
2014-09,16
2014-10,11
2014-11,7
2014-12,10
2015-01,12
2015-02,14
2015-03,12
2015-04,15
2015-05,7
2015-06,15
2015-07,11
2015-08,12
2015-09,12
2015-10,13
2015-11,14
2015-12,11
2016-01,13
2016-02,8
2016-03,10
2016-04,13
2016-05,11
2016-06,11
2016-07,16
2016-08,12
2016-09,8
2016-10,14
2016-11,11
2016-12,13
2017-01,8
2017-02,11
2017-03,8
2017-04,10
2017-05,13
2017-06,9
2017-07,7
2017-08,16
2017-09,10
2017-10,3
2017-11,14
2017-12,8
2018-01,10
2018-02,12
2018-03,6
2018-04,10
2018-05,9
2018-06,10
2018-07,11
2018-08,9
2018-09,9
2018-10,12
2018-11,8
2018-12,14
2019-01,8
2019-02,9
2019-03,13
2019-04,12
2019-05,6
2019-06,11
2019-07,9
2019-08,4
2019-09,10
2019-10,9
2019-11,15
2019-12,11
2020-01,11
2020-02,9
2020-03,10
2020-04,10
2020-05,2
2020-06,7
2020-07,3
2020-08,9
2020-09,4
2020-10,5
2020-11,6
2020-12,4
2021-01,7
2021-02,8
2021-03,14
2021-04,5
2021-05,12
2021-06,6
2021-07,8
2021-08,6
2021-09,6
2021-10,6
2021-11,10
2021-12,12
