month,accident_injuries
2008-01,735
2008-02,589
2008-03,695
2008-04,697
2008-05,685
2008-06,697
2008-07,742
2008-08,740
2008-09,730
2008-10,721
2008-11,660
2008-12,687
2009-01,696
2009-02,649
2009-03,701
2009-04,691
2009-05,703
2009-06,683
2009-07,691
2009-08,738
2009-09,669
2009-10,751
2009-11,756
2009-12,706
2010-01,663
2010-02,658
2010-03,758
2010-04,708
2010-05,759
2010-06,651
2010-07,747
2010-08,791
2010-09,738
2010-10,773
2010-11,730
2010-12,644
2011-01,779
2011-02,619
2011-03,692
2011-04,712
2011-05,680
2011-06,658
2011-07,711
2011-08,719
2011-09,722
2011-10,725
2011-11,694
2011-12,694
2012-01,675
2012-02,691
2012-03,694
2012-04,662
2012-05,677
2012-06,567
2012-07,681
2012-08,708
2012-09,674
2012-10,666
2012-11,656
2012-12,671
2013-01,675
2013-02,593
2013-03,628
2013-04,655
2013-05,629
2013-06,581
2013-07,628
2013-08,647
2013-09,642
2013-10,664
2013-11,629
2013-12,627
2014-01,661
2014-02,541
2014-03,593
2014-04,626
2014-05,666
2014-06,646
2014-07,692
2014-08,759
2014-09,651
2014-10,664
2014-11,669
2014-12,641
2015-01,626
2015-02,634
2015-03,758
2015-04,630
2015-05,680
2015-06,631
2015-07,703
2015-08,682
2015-09,614
2015-10,673
2015-11,698
2015-12,729
2016-01,690
2016-02,689
2016-03,656
2016-04,671
2016-05,684
2016-06,644
2016-07,730
2016-08,782
2016-09,660
2016-10,726
2016-11,742
2016-12,630
2017-01,681
2017-02,581
2017-03,668
2017-04,664
2017-05,628
2017-06,627
2017-07,679
2017-08,647
2017-09,619
2017-10,616
2017-11,672
2017-12,644
2018-01,703
2018-02,606
2018-03,662
2018-04,638
2018-05,605
2018-06,644
2018-07,615
2018-08,658
2018-09,609
2018-10,630
2018-11,702
2018-12,618
2019-01,669
2019-02,572
2019-03,611
2019-04,623
2019-05,654
2019-06,644
2019-07,678
2019-08,618
2019-09,649
2019-10,683
2019-11,661
2019-12,643
2020-01,636
2020-02,480
2020-03,510
2020-04,286
2020-05,260
2020-06,358
2020-07,476
2020-08,428
2020-09,472
2020-10,507
2020-11,479
2020-12,584
2021-01,549
2021-02,467
2021-03,526
2021-04,494
2021-05,458
2021-06,466
2021-07,466
2021-08,528
2021-09,527
2021-10,434
2021-11,511
2021-12,513
