date,content,username,like_count,retweet_count
2023-02-27 20:00:00+00:00,"Tensions were running high between the Team Principals at this group meeting 😅

Drive To Survive Season 5, now streaming on @netflix 📺
￼
#F1 #DriveToSurvive5 https://t.co/Tonx3pxANa",F1,22495,1637
2023-02-27 19:00:02+00:00,"Striking a pose, ft. a glorious mullet too ✨

We followed @ValtteriBottas for his pre-season media day shoot in our latest episode of All Access! 📸

Come behind the scenes with us, and watch all the fun we had with the Finn 👇

#F1 @alfaromeof1",F1,3552,291
2023-02-27 18:02:00+00:00,"💰🆕 FANTASY PRICE REVEAL 🆕💰

Create your ultimate team ahead of our opening round in Bahrain!

Who are you picking? 👀

#F1 #F1Fantasy",F1,1526,146
2023-02-27 17:55:00+00:00,"It's almost time for F1 Fantasy to restart! 🤩

Here are our tips for how to get the most out of your #F1Fantasy team for this year! 🙌

#F1 

https://t.co/9d16P7PoOo",F1,1215,210
2023-02-27 17:37:05+00:00,"We couldn't not put these two together! 🥰

@PierreGASLY and good pal @yukitsunoda07 🙌

#F1 https://t.co/zzRYM9kquC",F1,8126,785
2023-02-27 17:15:33+00:00,"Next up, we have the rookies 👊

McLaren's @OscarPiastri, William's @LoganSargeant and Alpha Tauri's @nyckdevries ✌️

#F1 https://t.co/74XJwhdWC3",F1,5486,301
2023-02-27 16:56:12+00:00,"My First Day: F1 2023 ✨

Featuring the @ScuderiaFerrari boys, @Charles_Leclerc and @Carlossainz55 to kick us off! 🙌

#F1 https://t.co/PJiJQvqAJ2",F1,35756,2283
2023-02-27 16:10:00+00:00,"He took a year out of the sport, but still produced one of his all-time greatest drives 💪

Absolute magic from @KevinMagnussen in 2022 

#BahrainGP #F1 https://t.co/YXvzdZhqzH",F1,4044,222
2023-02-27 14:05:40+00:00,"F1 Fantasy is BACK and BIGGER than ever! 🕹️🤩

Create your team here! 👇

#F1 #F1Fantasy",F1,1718,165
2023-02-27 12:15:00+00:00,"Three world champions 🏆

Three mighty competitors 💪

We can't wait to see what @alo_oficial, @LewisHamilton and @Max33Verstappen can achieve this season! 👊

#F1 https://t.co/wkn8nLeo9u",F1,22746,1258
2023-02-27 11:37:00+00:00,"For the first time since 2006, we'll be going flat-out through the final chicane in Spain this season! 😍

#F1 https://t.co/5m9PICDj7y",F1,14992,916
2023-02-27 11:06:03+00:00,https://t.co/iXHNF6clAX,F1,2580,274
2023-02-27 11:05:13+00:00,"BREAKING: The #SpanishGP will be changing its track configuration 

The final chicane will be removed, leaving the circuit to its original last two corner layout!

#F1 https://t.co/qCVJy0t8Lt",F1,75041,4686
2023-02-27 10:14:00+00:00,"The first bout of a truly legendary title duel ⚔️

Max and Lewis put on an incredible show in the desert back in 2021! Who's ready for another this season?

#BahrainGP #F1 https://t.co/kSay4X8nXK",F1,8326,468
2023-02-27 08:55:00+00:00,"Months pass, dust settles, anticipation builds. At long last, we can finally say...

IT'S 😍 RACE 😍 WEEK!!! 😍

#BahrainGP #F1 https://t.co/llm7NjwqY9",F1,38846,5497
2023-02-26 21:59:00+00:00,"Was anyone sandbagging? ⏱

We'll find out next weekend! 🙌

#F1 #F1Testing https://t.co/u7go0oYcne",F1,26596,1218
2023-02-26 20:38:00+00:00,"2022 🆚 2023 

#F1 #F1Testing https://t.co/ZzSzwV6apz",F1,21659,908
2023-02-26 19:55:00+00:00,"The 2023 #F1Fantasy starting prices are locked in 🔒

Which rookie is going in your squad? 🤔

#F1",F1,1709,201
2023-02-26 16:44:00+00:00,"Pick a team and/or a driver ✍️

#F1 #F1Testing https://t.co/tqO7fFMfOA",F1,10691,282
2023-02-26 14:28:00+00:00,"This was epic! 🍿

Verstappen and Leclerc put on a proper show at last year's season opener 👏

#BahrainGP #F1 https://t.co/54aGKKlm6e",F1,11526,969
2023-02-26 12:33:00+00:00,"All three drivers are priceless talents! 💪

But which world champ(s) are you putting in your 2023 #F1Fantasy team? 🤔

#F1",F1,3594,269
2023-02-26 11:22:00+00:00,"Pedal to the metal 💪

#F1 #F1Testing https://t.co/8Di3OUhm87",F1,6248,538
