tweet,text,hashtag,mention,username,like_count,retweet_count,tweet_length,tweet_word_count
"tension running high team principal group meeting drive survive season 5 , streaming @ netflix # f1 # drivetosurvive5","tension running high team principal group meeting drive survive season 5 , streaming",f1  drivetosurvive5 ,netflix ,F1,22500,1638,181,27
"striking pose , ft. glorious mullet followed @ valtteribottas pre-season medium day shoot latest episode access ! come behind scene u , watch fun finn # f1 @ alfaromeof1","striking pose , ft. glorious mullet followed pre-season medium day shoot latest episode access ! come behind scene u , watch fun finn",f1 ,valtteribottas  alfaromeof1,F1,3553,291,243,45
fantasy price reveal create ultimate team ahead opening round bahrain ! picking ? # f1 # f1fantasy,fantasy price reveal create ultimate team ahead opening round bahrain ! picking ?,f1  f1fantasy,,F1,1527,146,132,23
almost time f1 fantasy restart ! tip get # f1fantasy team year ! # f1,almost time f1 fantasy restart ! tip get team year !,f1fantasy  f1   ,,F1,1215,210,164,30
put two together ! @ pierregasly good pal @ yukitsunoda07 # f1,put two together ! good pal,f1 ,pierregasly  yukitsunoda07 ,F1,8125,785,114,16
"next , rookie mclaren @ oscarpiastri , william @ logansargeant alpha tauri @ nyckdevries # f1","next , rookie mclaren , william alpha tauri",f1 ,oscarpiastri logansargeant  nyckdevries ,F1,5487,301,144,18
"first day : f1 2023 featuring @ scuderiaferrari boy , @ charles_leclerc @ carlossainz55 kick u ! # f1","first day : f1 2023 featuring boy , kick u !",f1 ,scuderiaferrari  charles_leclerc  carlossainz55 ,F1,35761,2284,144,20
"took year sport , still produced one all-time greatest drive absolute magic @ kevinmagnussen 2022 # bahraingp # f1","took year sport , still produced one all-time greatest drive absolute magic 2022",bahraingp  f1 ,kevinmagnussen ,F1,4044,222,175,27
f1 fantasy back bigger ever ! create team ! # f1 # f1fantasy,f1 fantasy back bigger ever ! create team !,f1  f1fantasy,,F1,1717,165,86,16
"three world champion three mighty competitor wait see @ alo_oficial , @ lewishamilton @ max33verstappen achieve season ! # f1","three world champion three mighty competitor wait see , achieve season !",f1 ,alo_oficial lewishamilton  max33verstappen ,F1,22743,1257,184,25
"first time since 2006 , going flat-out final chicane spain season ! # f1","first time since 2006 , going flat-out final chicane spain season !",f1 ,,F1,14994,916,133,21
,,,,F1,2578,275,23,1
"breaking : # spanishgp changing track configuration final chicane removed , leaving circuit original last two corner layout ! # f1","breaking : changing track configuration final chicane removed , leaving circuit original last two corner layout !",spanishgp  f1 ,,F1,75064,4687,191,27
first bout truly legendary title duel max lewis put incredible show desert back 2021 ! ready another season ? # bahraingp # f1,first bout truly legendary title duel max lewis put incredible show desert back 2021 ! ready another season ?,bahraingp  f1 ,,F1,8332,468,195,33
"month pas , dust settle , anticipation build . long last , finally say ... race week ! ! ! # bahraingp # f1","month pas , dust settle , anticipation build . long last , finally say ... race week ! ! !",bahraingp  f1 ,,F1,38853,5498,148,22
anyone sandbagging ? find next weekend ! # f1 # f1testing,anyone sandbagging ? find next weekend !,f1  f1testing ,,F1,26596,1217,97,13
2022 2023 # f1 # f1testing,2022 2023,f1  f1testing ,,F1,21659,909,52,6
2023 # f1fantasy starting price locked rookie going squad ? # f1,2023 starting price locked rookie going squad ?,f1fantasy  f1,,F1,1707,201,96,18
pick team and/or driver # f1 # f1testing,pick team and/or driver,f1  f1testing ,,F1,10687,282,70,10
epic ! verstappen leclerc put proper show last year season opener # bahraingp # f1,epic ! verstappen leclerc put proper show last year season opener,bahraingp  f1 ,,F1,11528,969,132,21
three driver priceless talent ! world champ ( ) putting 2023 # f1fantasy team ? # f1,three driver priceless talent ! world champ ( ) putting 2023 team ?,f1fantasy  f1,,F1,3596,269,121,21
pedal metal # f1 # f1testing,pedal metal,f1  f1testing ,,F1,6252,538,60,8
"seb instagram ? ! @ schecoperez u moment drive survive , season 5 , streaming @ netflix # f1 # drivetosurvive5","seb instagram ? ! u moment drive survive , season 5 , streaming",f1  drivetosurvive5 ,schecoperez  netflix ,F1,12858,901,170,25
light next week # f1,light next week,f1 ,,F1,10640,758,53,8
"lighting street sky qatar ! f1 @ qatarairways launched new partnership style , f1 car roaring lusail boulevard # f1","lighting street sky qatar ! f1 launched new partnership style , f1 car roaring lusail boulevard",f1 ,qatarairways ,F1,3741,204,187,29
coming soon ... # f1 # f1fantasy,coming soon ...,f1  f1fantasy,,F1,1720,162,33,5
wait race ! watch best bit busy final day testing bahrain # f1 # f1testing,wait race ! watch best bit busy final day testing bahrain,f1  f1testing,,F1,3938,347,118,24
next week go racing real ! # f1 # f1testing,next week go racing real !,f1  f1testing ,,F1,6930,618,74,11
sergio perez belief red bull far better place heading 2023 campaign time last year # f1 # f1testing,sergio perez belief red bull far better place heading 2023 campaign time last year,f1  f1testing  ,,F1,2905,249,167,27
busy three day @ alphataurif1 # f1 # f1testing,busy three day,f1  f1testing ,alphataurif1 ,F1,5896,423,77,10
fred vasseur say atmosphere ferrari could n't better encouraging pre-season test bahrain # f1 # f1testing,fred vasseur say atmosphere ferrari could n't better encouraging pre-season test bahrain,f1  f1testing  ,,F1,2299,114,151,20
fastest testing = @ schecoperez enjoy fastest lap ! # f1 # f1testing @ redbullracing,fastest testing = enjoy fastest lap !,f1  f1testing ,schecoperez  redbullracing ,F1,36376,4207,121,16
mega shift @ haasf1team final day testing bahrain # f1 # f1testing,mega shift final day testing bahrain,f1  f1testing ,haasf1team ,F1,5150,339,110,17
taste thing come 2023 ! wait # f1 # f1testing,taste thing come 2023 ! wait,f1  f1testing ,,F1,11748,1062,93,16
checo hit top spot bahrain # f1 # f1testing,checo hit top spot bahrain,f1  f1testing  ,,F1,3478,341,78,11
mileage time final day testing ! # f1 # f1testing,mileage time final day testing !,f1  f1testing ,,F1,10159,1132,98,15
back pit go ... # f1testing done ! # f1,back pit go ... done !,f1testing  f1 ,,F1,2807,227,84,13
"mini sprint race , anyone ? # f1 # f1testing","mini sprint race , anyone ?",f1  f1testing ,,F1,9717,556,69,9
